,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
7,closed,0.006,210.0,-0.009882018601446779,1659313800000.0,1659326400000,23365.0,23224.0,1659319320000.0,23453.5,2022-08-01 00:00:00,sell,1m,-3
6,closed,0.0061,94.0,-0.010999358014123689,1659335160000.0,1659340800000,23224.0,23365.0,1659338160000.0,23108.0,2022-08-01 00:00:00,buy,1m,-4
28,closed,0.0047,57.0,-0.012292071721754158,1659398580000.0,1659402000000,23255.0,23145.0,1659399360000.0,23429.5,2022-08-02 00:00:00,sell,1m,3
29,closed,0.0062,14.0,-0.007503762631692109,1659399360000.0,1659400200000,23399.0,23255.0,1659399360000.0,23429.5,2022-08-02 00:00:00,sell,1m,4
27,closed,0.0048,882.0,-0.02642442485486992,1659403080000.0,1659456000000,23145.0,23255.0,1659432780000.0,22640.5,2022-08-02 00:00:00,buy,1m,2
26,closed,0.0065,619.0,-0.021797364441564052,1659404460000.0,1659441600000,22995.0,23145.0,1659432780000.0,22640.5,2022-08-02 00:00:00,buy,1m,-2
25,closed,0.0026,569.0,-0.015416394868449663,1659407460000.0,1659441600000,22935.5,22995.0,1659432780000.0,22640.5,2022-08-02 00:00:00,buy,1m,-3
24,closed,0.0048,3.0,-0.00486145930980358,1659407640000.0,1659407820000,22825.0,22935.5,1659407640000.0,22824.0,2022-08-02 00:00:00,buy,1m,-4
23,closed,0.0,3.0,-0.0013581599123767799,1659409800000.0,1659409980000,22824.0,22825.0,1659409980000.0,22794.0,2022-08-02 00:00:00,buy,15m,-3
41,closed,0.0061,216.0,-0.012732892216611526,1659486240000.0,1659499200000,22833.0,22972.0,1659488700000.0,22679.5,2022-08-03 00:00:00,buy,1m,-4
42,closed,0.0059,716.0,-0.029731847466480932,1659513840000.0,1659556800000,23109.5,22972.0,1659528900000.0,23655.0,2022-08-03 00:00:00,sell,1m,-2
43,closed,0.0053,665.0,-0.023605010926242453,1659516900000.0,1659556800000,23232.5,23109.5,1659528900000.0,23655.0,2022-08-03 00:00:00,sell,1m,2
44,closed,0.0053,163.0,-0.010631658237382977,1659518220000.0,1659528000000,23356.0,23232.5,1659524760000.0,23479.5,2022-08-03 00:00:00,sell,1m,3
45,closed,0.0048,5.0,-0.005287720500085631,1659524760000.0,1659525060000,23467.5,23356.0,1659524760000.0,23479.5,2022-08-03 00:00:00,sell,1m,4
46,closed,0.0073,13.0,-0.00798977309044423,1659528900000.0,1659529680000,23640.5,23467.5,1659528900000.0,23655.0,2022-08-03 00:00:00,sell,15m,2
8,closed,0.006,15.0,-0.012411726942007276,1659528900000.0,1659529800000,23506.0,23365.0,1659528900000.0,23655.0,2022-08-01 00:00:00,sell,1m,-2
58,closed,0.013,899.0,-0.02157544802078288,1659574860000.0,1659628800000,23010.5,22711.0,1659577500000.0,23201.0,2022-08-04 00:00:00,sell,1m,-3
59,closed,0.0068,143.0,-0.00827882923013407,1659577020000.0,1659585600000,23167.0,23010.5,1659577500000.0,23201.0,2022-08-04 00:00:00,sell,1m,2
40,closed,0.0085,433.0,-0.02115359348311654,1659631620000.0,1659657600000,22640.5,22833.0,1659636780000.0,22350.0,2022-08-03 00:00:00,buy,15m,-4
57,closed,0.0132,433.0,-0.028704287173246995,1659631620000.0,1659657600000,22711.0,23010.5,1659636780000.0,22350.0,2022-08-04 00:00:00,buy,1m,-4
56,closed,0.0031,433.0,-0.01589538109286249,1659631620000.0,1659657600000,22640.5,22711.0,1659636780000.0,22350.0,2022-08-04 00:00:00,buy,15m,-4
