,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
7,closed,0.006,210.0,-0.009882018601446779,1659313800000,1659326400000,23365.0,23224.0,1659319320000,23453.5,2022-08-01 00:00:00,sell,1m,-3
6,closed,0.0061,94.0,-0.010999358014123689,1659335160000,1659340800000,23224.0,23365.0,1659338160000,23108.0,2022-08-01 00:00:00,buy,1m,-4
20,closed,0.0061,216.0,-0.012732892216611526,1659486240000,1659499200000,22833.0,22972.0,1659488700000,22679.5,2022-08-03 00:00:00,buy,1m,-4
21,closed,0.0059,716.0,-0.029731847466480932,1659513840000,1659556800000,23109.5,22972.0,1659528900000,23655.0,2022-08-03 00:00:00,sell,1m,-2
22,closed,0.0053,665.0,-0.023605010926242453,1659516900000,1659556800000,23232.5,23109.5,1659528900000,23655.0,2022-08-03 00:00:00,sell,1m,2
23,closed,0.0053,163.0,-0.010631658237382977,1659518220000,1659528000000,23356.0,23232.5,1659524760000,23479.5,2022-08-03 00:00:00,sell,1m,3
24,closed,0.0048,5.0,-0.005287720500085631,1659524760000,1659525060000,23467.5,23356.0,1659524760000,23479.5,2022-08-03 00:00:00,sell,1m,4
8,closed,0.006,15.0,-0.012411726942007276,1659528900000,1659529800000,23506.0,23365.0,1659528900000,23655.0,2022-08-01 00:00:00,sell,1m,-2
25,closed,0.0073,13.0,-0.00798977309044423,1659528900000,1659529680000,23640.5,23467.5,1659528900000,23655.0,2022-08-03 00:00:00,sell,15m,2
19,closed,0.0085,433.0,-0.02115359348311654,1659631620000,1659657600000,22640.5,22833.0,1659636780000,22350.0,2022-08-03 00:00:00,buy,15m,-4
5,closed,0.0382,587.0,-0.03763348260420255,1659636780000,1659672000000,22368.5,23224.0,1659636780000,22350.0,2022-08-01 00:00:00,buy,15m,-2
37,closed,0.0084,20298.0,-0.11935856432125089,1659663720000,1660881600000,22703.0,22512.0,1660533420000,25199.0,2022-08-05 00:00:00,sell,1m,2
38,closed,0.0083,7080.0,-0.06754613927674756,1659664800000,1660089600000,22893.0,22703.0,1659960540000,24236.5,2022-08-05 00:00:00,sell,1m,3
39,closed,0.0035,570.0,-0.023325907482636615,1659666600000,1659700800000,22974.0,22893.0,1659679500000,23427.0,2022-08-05 00:00:00,sell,1m,4
40,closed,0.0029,570.0,-0.019717942021415514,1659666600000,1659700800000,23041.0,22974.0,1659679500000,23427.0,2022-08-05 00:00:00,sell,15m,-2
55,closed,0.0034,35.0,-0.006464575871407355,1659831000000,1659833100000,22971.5,22894.0,1659832920000,23042.0,2022-08-07 00:00:00,sell,1m,-3
54,closed,0.0034,66.0,-0.005463291469864832,1659833640000,1659837600000,22894.0,22971.5,1659833880000,22846.0,2022-08-07 00:00:00,buy,1m,-4
56,closed,0.0045,2879.0,-0.05506823672811963,1659873660000,1660046400000,23076.0,22971.5,1659960540000,24236.5,2022-08-07 00:00:00,sell,1m,-2
